year,income_size,proportion_of_charities
2009,<$250k,0.42
2009,$250k to $500k,0.13
2009,$500k to $1 mil,0.13
2009,$1mil to $5 mil,0.22
2009,$5mil to $10 mil,0.04
2009,>$10 mil,0.07
2010,<$250k,0.61
2010,$250k to $500k,0.09
2010,$500k to $1 mil,0.07
2010,$1mil to $5 mil,0.15
2010,$5mil to $10 mil,0.03
2010,>$10 mil,0.05
2011,<$250k,0.51
2011,$250k to $500k,0.09
2011,$500k to $1 mil,0.12
2011,$1mil to $5 mil,0.18
2011,$5mil to $10 mil,0.04
2011,>$10 mil,0.06
2012,<$250k,0.51
2012,$250k to $500k,0.11
2012,$500k to $1 mil,0.11
2012,$1mil to $5 mil,0.19
2012,$5mil to $10 mil,0.04
2012,>$10 mil,0.06
2013,<$250k,0.52
2013,$250k to $500k,0.09
2013,$500k to $1 mil,0.1
2013,$1mil to $5 mil,0.19
2013,$5mil to $10 mil,0.04
2013,>$10 mil,0.07
