CharityIPCName,UEN,CharityStatus,IPCStatus,IPCValidFrom,IPCValidTill,PrimarySector,Classification,Activities,SectorAdmin,CharitySetup,RegistrationDate
Zu-Lin Temple Association,S89SS0037E,Registered,,,,Religious,Buddhism,"Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Society,07/4/2003
Zonta Singapore- Project Pari Fund,T10CC0004L,Registered with IPC,Live,01/2/2024,31/10/2026,Social and Welfare,Community,"Financial assistance, bursaries & scholarships",Ministry of Social and Family Development,Others,21/4/2010
ZION SERANGOON BIBLE-PRESBYTERIAN CHURCH,S86SS0063K,Registered,,,,Religious,Christianity,Supports other Charities|Training & education,"Ministry of Culture, Community and Youth",Society,24/6/1988
Zion Presbyterian Church,S90SS0056K,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,15/3/1989
Zion Living Streams Community Church,S98SS0054C,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,10/12/1998
Zion Home for the Aged,S86SS0033F,Registered,,,,Social and Welfare,Eldercare,Direct Services,Ministry of Social and Family Development,Society,25/2/1986
Zion Full Gospel Church,S80SS0022H,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,16/8/1985
Zion Church,T00SS0141D,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,14/10/2002
ZION BISHAN BIBLE-PRESBYTERIAN CHURCH,T10SS0029G,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,13/10/2010
ZI JING CULTURAL CENTRE LTD.,201537410C,Registered,,,,Others,General Charitable Purposes,Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,18/7/2016
ZHENGHUA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T04CC1763A,Registered with IPC,Live,01/4/2024,31/3/2027,Community,North West,"Financial assistance, bursaries & scholarships|Supports other Charities",People's Association,Others,20/2/2004
Zhen Ren Gong Temple,S98SS0123E,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,11/10/2002
ZERO WASTE SG LIMITED,201528793W,Registered with IPC,Live,16/4/2024,15/4/2026,Others,Environment,"Public awareness, promotion & advisory|Training & education|Research","Ministry of Culture, Community and Youth",Company Limited by Guarantee,26/12/2019
ZEH SHING KEONG,S87SS0024B,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,19/6/1989
YYD EDUCATION CENTRE LIMITED,201610337C,Registered with IPC,Live,02/9/2025,01/9/2028,Education,Local Educational Institutions/Funds,"Direct Services|Grantmaking|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education|Research",Ministry of Education,Company Limited by Guarantee,27/6/2017
YUYING SECONDARY SCHOOL,T07GS7027J,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
Yung Kwang Presbyterian Church,S96SS0156J,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,08/2/1995
Yun Teck Sian Tng Thong Sin Sia,S94SS0048F,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,09/3/1996
YUHUA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T06CC1938B,Registered with IPC,Live,01/7/2024,30/6/2027,Community,South West,"Financial assistance, bursaries & scholarships|Supports other Charities",People's Association,Others,10/3/2006
Yuhua Benevolent Society,S94SS0158B,Deregistered,Not Applicable,,24/7/2006,Health,,,Ministry of Health,Society,18/1/1997
Yuan Meng Shih Temple,S97SS0138G,Registered,,,,Religious,Buddhism,"Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,07/10/2002
YUAN HUAI BUDDHIST SOCIETY,,Deregistered,,,,Others,,,"Ministry of Culture, Community and Youth",,19/6/1997
Yu Huang Tian Combined Temple,S96SS0163D,Registered,,,,Religious,Taoism,"Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,23/10/2002
Yu Feng Zhi Fu Cai Bo Xing Jun Miao,T04SS0018A,Registered,,,,Religious,Taoism,Supports other Charities,"Ministry of Culture, Community and Youth",Society,04/7/2006
YOUTHWORKS LTD.,198204026C,Registered,,,,Others,Children/Youth,Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,17/12/1984
YOUTHLINE LTD.,202202715W,Registered,,,,Social and Welfare,Children/Youth|Community|Support Groups,"Public awareness, promotion & advisory|Direct Services|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,20/3/2023
YOUTHHARMONY LTD.,202033369K,Registered,,,,Social and Welfare,Children/Youth|Community,"Supports other Charities|Training & education|Public awareness, promotion & advisory",Ministry of Social and Family Development,Company Limited by Guarantee,12/5/2022
Youth With A Mission Training Centre,S96SS0040D,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Society,04/3/1997
Youth Guidance Outreach Services,S96SS0067H,Registered with IPC,Live,01/7/2024,31/12/2026,Social and Welfare,Children/Youth,Direct Services,Ministry of Social and Family Development,Society,19/4/1997
YOUTH GOLF NETWORK LTD.,201300853G,Registered with IPC,Live,02/9/2025,31/8/2028,Sports,Non-NSAs,Training & education,Sport Singapore,Company Limited by Guarantee,21/2/2013
Youth Challenge (Singapore),S85SS0102C,Registered,Not Applicable,,14/2/2010,Others,Children/Youth,,"Ministry of Culture, Community and Youth",Society,20/3/1992
Young Women's Christian Association of Singapore,S61SS0075J,Registered with IPC,Live,01/4/2025,31/3/2028,Social and Welfare,Community|Disability (Adult)|Disability (Children)|Eldercare|Family,Direct Services|Training & education,Ministry of Social and Family Development,Society,29/10/1984
YOUNG PEOPLE'S PERFORMING ARTS ENSEMBLE LTD,199900287D,Registered with IPC,Live,25/11/2025,24/11/2026,Arts and Heritage,Theatre & Dramatic Arts,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,16/3/1999
YOUNG MUSICIANS' SOCIETY LTD,199600866D,Deregistered,Not Applicable,,30/9/2008,Arts and Heritage,Music & Orchestras,Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,23/9/1996
Young Men's Christian Association of Singapore,S61SS0045E,Registered with IPC,Live,01/7/2024,28/2/2027,Social and Welfare,Community,"Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education",Ministry of Social and Family Development,Society,26/11/1985
Young Life,T03SS0025B,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,23/2/2006
Yong-en Care Centre,S96SS0165G,Registered with IPC,Live,01/7/2024,30/6/2027,Social and Welfare,Community|Eldercare|Family|Support Groups,"Direct Services|Financial assistance, bursaries & scholarships",Ministry of Social and Family Development,Society,21/10/1997
Yokoshi Tomo No Kai (Singapore),S84SS0051C,Registered,,,,Religious,Others; Yokoshi,,"Ministry of Culture, Community and Youth",Society,18/12/1985
YMCA Shine,T17SS0015J,Registered,,,,Religious,Christianity,"Direct Services|Grantmaking|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education|Research","Ministry of Culture, Community and Youth",Society,31/8/2018
YMCA CHILD DEVELOPMENT CENTRE LIMITED,202128031H,Registered,,,,Social and Welfare,Children/Youth,"Direct Services|Financial assistance, bursaries & scholarships|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,04/3/2022
Yishun Methodist Mission,T13CC0001E,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Others,19/2/2013
Yishun Evangelical Church,T02SS0001C,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,06/12/1993
YISHUN CHRISTIAN CHURCH (LUTHERAN),S88CC0598H,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Others,11/10/1988
Yishun Christian Church (Council),T08CC4084H,Exempt Charity,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Others,
Yishun Christian Church (Anglican) Chinese Congregation,T18CC0001H,Exempt Charity,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Others,
YISHUN CHRISTIAN CHURCH (ANGLICAN),S87CC0543J,Exempt Charity,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Others,
YIO CHU KANG GOSPEL HALL LTD,198502476C,Registered,,,,Religious,Christianity,"Direct Services|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Company Limited by Guarantee,07/6/1993
YIO CHU KANG CHAPEL LTD,198100673K,Registered,,,,Religious,Christianity,Direct Services|Supports other Charities,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,29/11/1983
YIO CHU KANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S87CC0460G,Registered with IPC,Live,01/4/2024,31/3/2027,Community,Central,"Financial assistance, bursaries & scholarships",People's Association,Others,24/6/1987
Yi Do An Chinese Temple,S94SS0150A,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,11/11/1994
YEW TEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S97CC1249F,Registered with IPC,Live,01/4/2024,31/3/2027,Community,North West,"Grantmaking|Financial assistance, bursaries & scholarships",People's Association,Others,25/3/1997
YELLOW RIBBON SINGAPORE,T08GB0049F,Exempt Charity,,,,Social and Welfare,Support Groups,"Training & education|Public awareness, promotion & advisory",Ministry of Social and Family Development,Others,
YELLOW RIBBON FUND (YRF),T04CC1808H,Registered with IPC,Live,01/12/2024,31/5/2027,Social and Welfare,Community,"Financial assistance, bursaries & scholarships|Training & education",Ministry of Social and Family Development,Others,09/9/2004
YELLOW RIBBON CARES LIMITED,202527788H,Registered with IPC,Live,28/8/2025,27/8/2026,Social and Welfare,"Others; ex-offenders, their children and families","Financial assistance, bursaries & scholarships|Direct Services|Supports other Charities|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,22/8/2025
YCAB ASIA LIMITED,202017416W,Registered,,,,Others,General Charitable Purposes,Grantmaking,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,13/6/2022
YAYASAN MENDAKI,198902633C,Registered with IPC,Live,28/6/2024,27/6/2029,Others,Self-Help Groups,"Research|Financial assistance, bursaries & scholarships|Supports other Charities|Grantmaking|Training & education|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Company Limited by Guarantee,16/11/1989
YANGZHENG FOUNDATION,S90SS0076J,Registered,,,,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships",Ministry of Education,Society,11/4/1991
Yan Kit Village Chinese Temple,S95SS0028A,Registered,,,,Religious,Taoism,Supports other Charities,"Ministry of Culture, Community and Youth",Society,17/11/1997
Y.W.C.A. PRESCHOOL LTD.,202120898G,Registered,,,,Social and Welfare,Others; Preschool,,Ministry of Social and Family Development,Company Limited by Guarantee,23/12/2021
X-Pact Society,S97SS0133E,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Society,24/6/1998
Xiu Xin Tarng,S92SS0002L,Registered,,,,Religious,Taoism,Supports other Charities|Training & education,"Ministry of Culture, Community and Youth",Society,29/4/1995
XiSer CareServe,T05SS0221K,Registered,Not Applicable,,31/10/2009,Health,Nursing Home,Direct Services,Ministry of Health,Society,12/7/2006
Xing Guang Shan Sangha Mission,S94SS0044L,Registered,,,,Religious,Buddhism,Training & education,"Ministry of Culture, Community and Youth",Society,15/5/1996
Xin Yuan Community Care,T05SS0150E,Deregistered,Expired,01/10/2022,31/3/2025,Social and Welfare,Children/Youth|Community|Eldercare|Family,"Direct Services|Financial assistance, bursaries & scholarships|Training & education",Ministry of Social and Family Development,Society,13/2/2006
XIN YUAN COMCARE LTD.,202228478W,Registered with IPC,Live,02/12/2025,01/9/2026,Social and Welfare,Children/Youth|Eldercare|Family,,Ministry of Social and Family Development,Company Limited by Guarantee,24/11/2022
Xian Gu Tian,S97SS0021F,Registered,,,,Religious,Taoism,Direct Services,"Ministry of Culture, Community and Youth",Society,21/8/2003
"WYCLIFFE BIBLE TRANSLATORS INTERNATIONAL, INC",T09FC0059A,Deregistered,,,,Religious,Christianity,"Public awareness, promotion & advisory|Supports other Charities|Training & education|Research","Ministry of Culture, Community and Youth",Company Limited by Guarantee,01/9/2011
WYCLIFFE BIBLE TRANSLATORS (SINGAPORE) LTD,198306044C,Registered,,,,Religious,Christianity,"Supports other Charities|Training & education|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Company Limited by Guarantee,10/8/1985
WWF-WORLD WIDE FUND FOR NATURE (SINGAPORE) LIMITED,200602275E,Registered,,,,Others,Environment,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,10/3/2006
WWFS CONSERVATION FUND,T06CC1999F,Registered with IPC,Live,02/7/2025,01/7/2028,Others,Environment,"Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Others,07/12/2006
Wu Tai Shan Buddhist Temple,S93SS0064E,Registered,,,,Religious,Buddhism,Direct Services,"Ministry of Culture, Community and Youth",Society,21/1/2002
WU LUI SIEN SZE TEMPLE,S83SS0040H,Registered,,,,Religious,Taoism,"Direct Services|Supports other Charities|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,10/10/1989
Wu Hong Yan Kong Temple,S94SS0085E,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,21/10/1997
WRESTLING FEDERATION OF SINGAPORE,T08SS0214H,Registered with IPC,Live,01/2/2025,31/1/2028,Sports,NSAs,"Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships|Training & education",Sport Singapore,Society,22/12/2009
WOW! A Youth Service,T04SS0141B,Deregistered,,,,Social and Welfare,Children/Youth,,Ministry of Social and Family Development,Society,19/7/2005
